Пол;Паспорт_год;СНИЛС_число;Симптомы_хэш;Врач_ID;Дни_визита;Анализы_хэш;Дни_анализов;Стоимость_число;Карта_BIN
1;23;8386379416;4000324300;33;6;1549253427;6;9000;220005
0;12;36805621176;1732589051;46;27;1421216869;30;4150;220014
0;20;39587025878;2742194543;27;4;1549253427;4;9000;220008
1;17;72603649323;1577589146;23;12;213798247;12;3901;220005
1;16;47633926820;1466776696;30;13;3113408900;14;2722;220005
1;18;39084155633;2018371427;22;6;1232299504;10;1750;220006
1;23;39673306693;3103254247;45;6;1978079573;6;600;220007
1;22;1640052497;2499026580;21;4;3495449363;4;1400;220008
1;8;26025634245;1189405222;28;7;3724089974;9;3500;220014
0;5;19655698144;85829294;23;13;653053816;16;13150;462729
0;24;77387214848;69240806;30;21;1978079573;21;600;220005
1;21;16328708376;2427771351;44;0;374702076;3;2250;220014
1;23;62316658788;363141;33;27;1549253427;28;9000;510002
0;25;6990162797;177336994;10;14;2450748798;16;3300;447520
1;14;41904966395;493978685;49;25;1978079573;26;600;427901
0;28;96507527340;1451605270;10;22;276875094;23;1650;415374
1;15;35182337470;2952391343;4;11;124332046;11;1750;220004
0;11;11671902247;3132369833;19;19;3383659194;20;3845;427644
1;21;49361832417;3132369833;44;19;2676891407;20;2534;462729
0;24;49027874216;3064583394;35;13;4000324300;13;1650;220004
0;20;87603859755;788990320;3;17;1466702456;18;3150;415374
1;3;48467737856;1924824147;35;7;2447936237;9;4150;521324
0;19;27028951785;3132369833;49;12;3647470547;16;1400;548699
0;19;87563707705;2223005058;42;4;3499415392;5;1400;427644
0;20;64543742969;1365978545;24;28;1978079573;30;600;462729
0;19;67962645961;2287981571;34;19;3495449363;19;1400;220004
1;24;58483828675;1409935245;28;28;2662777205;28;2700;447520
1;21;42024405113;1453124613;25;25;2751018166;25;1500;510002
1;23;34781600623;2433813310;25;4;1569734171;4;800;415374
0;12;15654527181;2265495980;28;5;2597284430;5;1650;220006
0;22;99809402476;2207523958;29;8;1832478108;7;800;427683
1;20;34773993398;1758660343;31;19;2782239841;19;9000;220014
0;19;76562025408;2405732003;36;12;1096459434;12;1500;220005
1;13;52399753930;1728175024;32;25;704211665;26;5150;548673
1;20;37788925575;1773316176;43;5;2043890862;6;2700;462204
1;23;35733221468;1852880500;39;20;2142389025;21;1750;220014
1;23;39240758196;1586442901;41;13;3283466078;14;607;338858
1;6;90104328950;1688932081;33;14;3241080653;16;2671;415581
1;23;85188888077;1358833810;42;11;2796157220;12;3530;251019
1;19;40345054129;1847980543;30;28;3369226496;29;3458;398440
0;25;1658202940;3132369833;8;4;3495449363;5;215;303678
0;12;86814473952;1767178664;36;4;2402124780;4;3305;352792
1;23;67866912578;2660632194;35;4;3650718323;5;3261;382892
0;20;95900109408;2237135520;29;19;3495449363;18;1400;220006
0;18;96325953244;317785800;25;15;3495449363;17;1400;220007
0;24;91216558594;631635885;23;1;1419601850;2;1750;220002
0;78;16940974916;1603779101;3;20;1897374757;23;1750;220005
1;16;49733484339;2427771351;44;15;2889915191;17;2260;220008
0;25;57120826776;3132826993;23;20;3321708050;21;2200;510003
1;92;87287431555;493978685;41;25;2338814239;26;5861;510002
0;16;96507527340;3559651551;0;8;2529545829;10;2627;463027
0;24;91216558594;2161429762;15;7;1870460287;10;3400;427901
1;23;39240758196;1549253427;47;18;3495449363;19;1400;220005
0;25;60529751696;830387734;17;15;2214448203;17;3400;220004
1;99;26567661822;885870647;34;19;2630118703;20;3500;220014
0;78;16940974916;3132369833;33;13;3355756387;14;1400;447520
0;17;72646370193;1542517442;33;16;2272666325;18;3500;462204
0;15;54371139987;2434094125;29;15;2886853878;17;3100;548699
0;24;91216558594;1549253427;23;15;3246061640;17;1400;220007
0;23;54033173949;1549253427;25;11;3495449363;11;1400;220005
0;23;54033173949;656854404;48;13;1531816353;13;3500;415374
0;24;95900109408;2499026580;14;25;1978079573;25;600;447520
1;23;8386379416;3619880217;24;20;2029396524;21;600;220006
1;21;49361832417;318944160;29;28;1902894592;30;800;220014
0;12;44610386747;1933948918;25;16;2357914432;18;1750;220004
1;3;29419012344;1718128599;22;28;1805189006;31;1750;463027
0;16;96507527340;3066118668;42;25;3495449363;26;1400;220006
1;92;87287431555;2747446649;25;20;3495449363;23;1400;415374
0;25;46662906998;2785993317;19;4;3495449363;4;1400;220004
1;23;42409350679;2750292261;32;4;3495449363;4;1400;437772
1;23;39318325224;1576478381;25;25;3495449363;26;1400;220002
0;20;60781717879;2335550628;30;16;3521487171;19;1174;241255
0;56;72434266183;3458713082;9;1;3247883845;2;1662;387801
1;23;35733221468;1358833810;39;11;2998315852;12;4709;397777
1;17;53462475190;2263087449;49;11;3194860587;11;2739;328455
1;17;60937966034;2756615127;22;4;2164581433;5;2450;415374
0;23;25134125224;2341420833;29;5;1978079573;5;2199;548673
1;22;34852723914;1736365728;29;11;1978079573;11;2926;548673
1;22;58594797283;1169232042;33;13;1358833810;14;2898;447520
0;18;68321110101;2232171278;33;15;3495449363;17;1003;220014
0;17;62798194795;285245067;49;29;3495449363;31;1400;510002
0;20;50697126154;2710587686;29;22;2448864792;24;1750;548699
1;21;83908470034;1216190770;25;21;1564671610;24;800;510002
0;20;87603859755;2666664895;30;15;3660123492;17;3367;383872
0;20;76473858371;2612197382;29;15;3260403922;17;1176;378988
1;20;45331123980;1779995030;33;15;3612168627;17;2486;352594
1;20;36460012247;1553290998;35;12;3119768063;13;3787;393717
1;20;36525595374;1560190069;35;12;3081595209;13;3810;415374
1;15;35182337470;2906198743;19;15;3248276882;17;8610;462729
1;23;86353654132;623499851;15;17;2957729833;19;2970;295907
1;23;81561497819;1549253427;44;14;2697378385;16;2548;298543
1;23;8386379416;4115330249;34;15;3271199814;17;3406;363454
0;23;44565574314;3776528594;24;15;3603426733;17;1902;372190
1;16;65219047090;1212966259;36;14;1144440112;14;2796;294208
0;16;90344642681;1790971757;26;17;2808135588;19;3869;220007
0;18;86351836809;2493457530;31;15;3352294310;17;1441;447520
1;26;60638316416;4086275848;33;28;3419226262;29;1921;510003
0;16;93735252378;1868586427;21;17;2154580666;19;2098;220006
0;20;87603859755;1330563016;21;10;2248339945;12;5789;462729
0;56;72434266183;4064782988;3;27;1992270886;27;2800;437772
0;20;69166978474;1352388818;34;0;2448864792;1;3382;288860
0;15;91545226704;1488976367;22;18;1823983646;19;714;391232
1;14;96325953244;493978685;44;29;1144440112;31;2998;480195
1;13;676267659;1358833810;1;25;3495449363;25;1400;220004
1;25;29620153371;3458713082;31;11;1515093391;12;800;220014
0;25;1658202940;1682703322;18;24;2142052211;25;3400;220005
1;22;86879374102;1169028042;40;17;2252443888;18;600;220004
1;8;26025634245;1861857313;37;27;1978079573;27;600;427683
0;15;91545226704;1909558739;0;1;733370363;3;1750;220005
0;25;8214862865;3522053771;15;6;2992154446;6;1650;220006
0;15;68428754311;1579899252;21;25;2016044413;25;600;220004
1;2;17074208688;2420301156;36;17;3481139526;18;1400;427901
1;23;35733221468;493978685;26;20;3602874617;20;1400;220005
